,,,,
基本信息,,,,
,名称/编号：,沙虫,,
,核心玩法类型：,街机动作/轻度破坏/吞噬成长类,,
,目标用户画像：,适合全年龄段，游玩场景考虑通勤、杀时间,,
,对标参考产品,Death Worm,,
玩法与内容设计,,,,
,玩法核心机制：,控制沙虫在地下移动、钻出吞噬物体并躲避攻击,,
,,,,
,游戏爽感来源：,获得经验升级、皮肤外观、击毁大型设施,,
,,,,
,游戏节奏设计（一轮游戏时间等）：,1~3分钟,,
,,,,
,可扩展内容方向：,进化树系统、挑战关卡、不同地图,,
开发与资源评估,,,,
,预计开发时间：,2~3月,,
,,,,
,开发关键难点：,关卡设计、操作手感,,
,,,,
,是否需要联网：,否,,
,,,,
,推荐引擎工具：,Unity/Cocos/Godot,,
,,,,
,可否复用代码模板：,待定,,
,,,,
商业化潜力：,,,,
,主要变现方式：,复活币/付费皮肤/数值加成,,
,,,,
,预计ARPU区间：,$0.1~$3,,
,,,,
,误触/误导/吸引创意可用性：,碰瓷《沙丘》,,
,,,,
,核心用户留存点：,通过前期快速升级造成弃坑成本；中后期特定高收益关卡,,
,,,,
,用户留存率预估：,<5%,,
,,,,
评估打分：（1-5）,,,,
,项目,分值（1-5）,备注,
,创意新颖度,,,
,技术开发可行性,,,
,快速上线速度,,,
,创意可塑性,,,
,商业化潜力,,,
,,,,
小结,,,,
